Price,Close,High,Low,Open,Volume
Ticker,MSFT,MSFT,MSFT,MSFT,MSFT
Date,,,,,
2016-08-22,51.533958435058594,51.60544813797523,51.167582229652474,51.47140664941487,15221900
2016-08-23,51.730552673339844,51.98969773801723,51.69480782121536,51.73949059077932,18732400
2016-08-24,51.78417205810547,51.86459627424884,51.57864426325394,51.65013056159424,18151500
2016-08-25,51.98075866699219,52.087993220985815,51.63225488855452,51.72161701688254,18552600
2016-08-26,51.85565185546875,52.45436614699202,51.55182745577405,52.07905204910261,20971200
2016-08-29,51.91820526123047,52.36500566247623,51.91820526123047,51.989694961661726,16417200
2016-08-30,51.730552673339844,51.998632246639986,51.48034552610194,51.810976886211556,16930200
2016-08-31,51.34628677368164,51.650111096967976,51.203310822065454,51.516073059786564,20860300
2016-09-01,51.46247863769531,51.66800644630194,50.94418845256958,50.94418845256958,26075400
2016-09-02,51.533958435058594,51.99863127756676,51.310558226669094,51.533958435058594,18900500
2016-09-06,51.480342864990234,51.650125790580034,51.1229011798557,51.632253365441656,16278400
2016-09-07,51.5250129699707,51.685861358512575,51.30161280908654,51.35523007487248,17493400
2016-09-08,51.31948471069336,51.641181484515464,51.096084552074224,51.49820551935185,20146100
2016-09-09,50.22929000854492,51.39990804737003,50.22929000854492,50.74758000413364,35113900
2016-09-12,50.979923248291016,51.12289923514272,49.693139366625694,50.04164312152569,29303000
2016-09-13,50.51524353027344,50.62247806235896,50.0863156283792,50.48843660166003,30130200
2016-09-14,50.273983001708984,50.60461777503302,50.06845521248464,50.390152068250316,24062500
2016-09-15,51.105037689208984,51.24801370649542,50.02378134542925,50.17569528125573,26847000
2016-09-16,51.15863800048828,51.49820720718708,50.711837668606286,51.49820720718708,44607000
2016-09-19,50.87268829345703,51.60544059719679,50.80119860098674,51.17651266882348,20937100
2016-09-20,50.76544952392578,51.24799124021843,50.71183226264186,51.24799124021843,17384000
2016-09-21,51.6143684387207,51.6947926279555,51.00672317527702,51.3909682918258,33707300
2016-09-22,51.667999267578125,51.82884768828157,51.498216338531876,51.75735798627265,19822200
2016-09-23,51.31948471069336,51.748412606184196,51.274805360732714,51.71266776268932,19955300
2016-09-26,50.84587860107422,51.0603408492025,50.7833268279688,51.00672699157842,21688700
2016-09-27,51.78417205810547,51.88246870103813,50.64929852311208,50.8726987447529,28065100
2016-09-28,51.85565185546875,51.88246219669998,51.533955031225375,51.721613784578295,20536400
2016-09-29,51.292686462402344,51.98075606762877,51.122900131477806,51.659062648184516,25463500
2016-09-30,51.471397399902344,51.62331128689264,51.23906272480759,51.44459047053419,29910800
2016-10-03,51.3105583190918,51.426727382132256,50.98886488183746,51.30162381061945,19189500
2016-10-04,51.14969253540039,51.47138584203029,50.90841999881651,51.17649945874906,20085900
2016-10-05,51.507137298583984,51.793089213770436,51.167568120994176,51.194378456603715,16726400
2016-10-06,51.59651565551758,51.703746805286436,51.18545666523951,51.59651565551758,16212600
2016-10-07,51.650115966796875,51.810964353632606,51.310546771386335,51.6947953167366,20089000
2016-10-10,51.86457443237305,52.17733324743044,51.71266057304844,51.74840541157369,18196500
2016-10-11,51.105037689208984,51.846728122444155,50.836958082899066,51.730559043143565,26497400
2016-10-12,51.033538818359375,51.17651480043908,50.39908311093171,51.033538818359375,22177500
2016-10-13,50.863739013671875,51.20330815940799,50.327580075196245,50.66714922093235,25313700
2016-10-14,51.3105583190918,51.59651372245676,51.04247875030485,51.04247875030485,27402500
2016-10-17,51.1318244934082,51.34628671618454,50.81906225603733,51.25692802483033,23830000
2016-10-18,51.5250129699707,51.78415797471216,51.30161280908654,51.40884393184248,19149500
2016-10-19,51.40885543823242,51.68587292690489,51.292689782919794,51.355241569262496,22878400
2016-10-20,51.15863800048828,51.399910588762474,50.631413472514886,51.382038166429275,49455600
2016-10-21,53.312232971191406,54.018178545508654,53.1603224446968,53.86626461019692,80032200
2016-10-24,54.5096435546875,54.5096435546875,53.553491063400735,53.56242557066172,54067000
2016-10-25,54.50071716308594,54.84028303062704,54.33093082049867,54.375610181089165,35137200
2016-10-26,54.17900848388672,54.688360582808826,54.0360325159229,54.339856873948015,29911600
2016-10-27,53.70539474487305,54.3577261832188,53.69646023874393,54.161132960220584,28479900
2016-10-28,53.49987030029297,54.08071209000267,53.240728700849786,53.624973846675736,33574700
2016-10-31,53.5445556640625,53.99135604206896,53.5445556640625,53.7590213453848,26434700
2016-11-01,53.43732833862305,53.63392160978692,52.94584856952997,53.589242250563295,24533000
2016-11-02,53.106689453125,53.55348979958655,52.99052040857649,53.45519317795443,22147000
2016-11-03,52.910099029541016,53.29434762068058,52.82074031901306,53.19605099381005,21600400
2016-11-04,52.46330642700195,52.97265865182202,52.293523488334195,52.40969255627361,28697000
2016-11-07,53.99134826660156,54.080710374623344,53.41944441052562,53.41944441052562,31664800
2016-11-08,54.03603744506836,54.31305149080839,53.750085483056296,54.10752373116324,22935400
2016-11-09,53.76795959472656,54.14327371095425,52.90116911907003,53.61604909186491,49632500
2016-11-10,52.45436477661133,54.0539109393572,51.49821224554343,54.04497302290815,57822400
2016-11-11,52.74031066894531,52.829669370244225,51.83777210527293,52.03436533870968,38767800
2016-11-14,51.936065673828125,52.79392483650271,51.18544103699771,52.74030757358063,41328400
2016-11-15,52.96165084838867,53.5194284870041,52.46685098277658,52.47584927828171,35904100
2016-11-16,53.66337585449219,53.67237071907937,52.90768025092044,53.02463064977657,27332500
2016-11-17,54.55402374267578,54.83291263530442,53.95126819544483,54.34710750563328,32132700
2016-11-18,54.29311752319336,55.003831916476216,54.24813633806603,54.67996189260836,27686300
